1981	24.00	17.00	114.40
1982	24.00	29.16	114.40
1983	24.00	41.32	114.40
1984	24.00	53.47	114.40
1985	24.00	65.63	114.40
1986	24.00	77.79	114.40
1987	24.00	89.95	114.40
1988	24.00	102.11	114.40
1989	24.00	114.26	114.40
1990	24.00	126.42	114.40
1991	24.00	138.58	114.40
1992	24.00	150.74	114.40
1993	24.00	162.89	114.40
1994	24.00	175.05	114.40
1995	24.00	187.21	114.40
1996	24.00	199.37	114.40
1997	24.00	211.53	114.40
1998	24.00	223.68	114.40
1999	24.00	235.84	114.40
2000	24.00	248.00	114.40
2001	24.00	260.16	114.40
2002	24.00	272.32	114.40
2003	24.00	284.47	114.40
2004	24.00	296.63	114.40
2005	24.00	308.79	114.40
2006	24.00	320.95	114.40
2007	24.00	333.11	114.40
2008	24.00	345.26	114.40
2009	24.00	357.42	114.40
2010	24.00	369.58	114.40
2011	36.13	17.00	114.40
2012	36.13	29.16	114.40
2013	36.13	41.32	114.40
2014	36.13	53.47	114.40
2015	36.13	65.63	114.40
2016	36.13	77.79	114.40
2017	36.13	89.95	114.40
2018	36.13	102.11	114.40
2019	36.13	114.26	114.40
2020	36.13	126.42	114.40
2021	36.13	138.58	114.40
2022	36.13	150.74	114.40
2023	36.13	162.89	114.40
2024	36.13	175.05	114.40
2025	36.13	187.21	114.40
2026	36.13	199.37	114.40
2027	36.13	211.53	114.40
2028	36.13	223.68	114.40
2029	36.13	235.84	114.40
2030	36.13	248.00	114.40
2031	36.13	260.16	114.40
2032	36.13	272.32	114.40
2033	36.13	284.47	114.40
2034	36.13	296.63	114.40
2035	36.13	308.79	114.40
2036	36.13	320.95	114.40
2037	36.13	333.11	114.40
2038	36.13	345.26	114.40
2039	36.13	357.42	114.40
2040	36.13	369.58	114.40
2041	48.25	17.00	114.40
2042	48.25	29.16	114.40
2043	48.25	41.32	114.40
2044	48.25	53.47	114.40
2045	48.25	65.63	114.40
2046	48.25	77.79	114.40
2047	48.25	89.95	114.40
2048	48.25	102.11	114.40
2049	48.25	114.26	114.40
2050	48.25	126.42	114.40
2051	48.25	138.58	114.40
2052	48.25	150.74	114.40
2053	48.25	162.89	114.40
2054	48.25	175.05	114.40
2055	48.25	187.21	114.40
